 ,Label,Angle,Length
137,RW-G-AR1017-05-01-19.JPG,11.908,1201.865
138,RW-G-AR1509-05-30-19.JPG,19.022,1172.002
139,RW-G-AR2313-05-30-19.JPG,6.643,1210.126
140,RW-G-AR2511-05-15-19.JPG,10.118,1206.768
141,RW-G-AR2609-05-30-19.JPG,4.671,1228.078
142,RW-G-AR2903-05-15-19.JPG,2.251,1170.904
143,RW-G-AR_1915-03-14-19.JPG,6.683,1254.525
144,RW-G-AR_2913-03-14-19.JPG,4.509,1195.701
145,RW-G-CA_0819-02-15-19.JPG,0.661,1214.081
146,RW-G-CA_0825-02-15-19.JPG,-7.503,1240.622
147,RW-G-CA_1013-11-28-18.JPG,11.879,1224.217
148,RW-G-CA_1218-01-29-19.JPG,-1.015,1242.195
149,RW-G-CA_1307-10-31-18.JPG,14.482,1247.641
150,RW-H-AR0802-05-15-19.JPG,9.229,1209.658
151,RW-H-AR1407-05-30-19.JPG,5.683,1232.055
152,RW-H-AR1413-05-30-19.JPG,8.497,1191.075
153,RW-H-AR1613-05-30-19.JPG,2.672,1201.306
154,RW-H-AR2504-05-01-19.JPG,13.851,1202.983
155,RW-H-AR2713-05-15-19.JPG,-4.464,1207.664
156,RW-H-AR_1310-03-14-19.JPG,13.137,1205.550
157,RW-H-AR_2212-03-14-19.JPG,6.203,1203.044
158,RW-H-CA1109-05-30-19.JPG,-0.837,1232.131
159,RW-H-CA_0303-01-22-19.JPG,17.145,1207.664
160,RW-H-CA_0816-02-15-19.JPG,16.286,1248.080
161,RW-H-CA_1309-11-07-18.JPG,15.255,1299.800
162,RW-H-CA_1406-10-31-18.JPG,14.685,1286.006
163,RW-H-CA_1410-05-01-19.JPG,9.404,1285.272
164,RW-Q-AR0613-05-30-19.JPG,6.061,1269.094
165,RW-Q-AR0915-05-01-19.JPG,-3.265,1264.052
166,RW-Q-AR1906-05-15-19.JPG,6.410,1271.951
167,RW-Q-AR2004-05-30-19.JPG,2.322,1184.973
168,RW-Q-AR2905-05-30-19.JPG,19.975,1176.792
