"Bee_ID"	"Label"	"pixels_per_cm"
"CA1416"	"RW-B-CA_1416-02-15-19.JPG"	1416.001
"CA1317"	"RW-B-CA_1317-01-29-19.JPG"	1492.343
"CA1211"	"RW-B-CA_1211-11-07-18.JPG"	1422.013
"CA1111"	"RW-B-CA_1111-11-07-18.JPG"	1502.065
"CA0904"	"RW-B-CA_0904-10-31-18.JPG"	1422.09
"CA0801"	"RW-B-CA_0801-01-22-19.JPG"	1412.685
"CA0205"	"RW-B-CA_0205-01-22-19.JPG"	1494.301
"AR1410"	"RW-B-AR_1410-03-14-19.JPG"	1521.031
"AR2901"	"RW-B-AR2901-05-15-19.JPG"	1524.295
"AR2209"	"RW-B-AR2209-05-15-19.JPG"	1526.005
"AR2008"	"RW-B-AR2008-05-15-19.JPG"	1444.035
"AR1605"	"RW-B-AR1605-05-01-19.JPG"	1438.313
"AR1518"	"RW-B-AR1518-05-30-19.JPG"	1442.05
"AR1305"	"RW-B-AR1305-05-15-19.JPG"	1448.035
"AR1210"	"RW-B-AR1210-05-01-19.JPG"	1514.297
"AR1106"	"RW-B-AR1106-05-30-19.JPG"	1518.065
"AR1101"	"RW-B-AR1101-05-30-19.JPG"	1440.089
"AR1007"	"RW-B-AR1007-05-30-19.JPG"	1438.089
"AR0101"	"RW-B-AR0101-05-01-19.JPG"	1436.357
"CA0810"	"RW-A-CA_0810-01-22-19.JPG"	1486.012
"CA0505"	"RW-A-CA_0505-01-22-19.JPG"	1414.013
"CA0217"	"RW-A-CA_0217-02-15-19.JPG"	1414.566
"CA1002"	"RW-A-CA1002-05-30-19.JPG"	1524.189
"AR2009"	"RW-A-AR_2009-03-14-19.JPG"	1522.526
"AR2002"	"RW-A-AR_2002-03-14-19.JPG"	1521.611
"AR1511"	"RW-A-AR_1511-03-14-19.JPG"	1525.796
"AR1216"	"RW-A-AR_1216-03-14-19.JPG"	1446.112
"AR0302"	"RW-A-AR_0302-03-14-19.JPG"	1446.022
"AR2714"	"RW-A-AR2714-05-30-19.JPG"	1522.526
"AR2314"	"RW-A-AR2314-05-30-19.JPG"	1524.084
"AR2311"	"RW-A-AR2311-05-15-19.JPG"	1442.355
"AR1609"	"RW-A-AR1609-05-15-19.JPG"	1528.424
"AR1604"	"RW-A-AR1604-05-30-19.JPG"	1524.189
"AR1510"	"RW-A-AR1510-05-30-19.JPG"	1522.012
"AR1215"	"RW-A-AR1215-05-01-19.JPG"	1430.945
"AR1107"	"RW-A-AR1107-05-01-19.JPG"	1512.065
"AR0903"	"RW-A-AR0903-05-30-19.JPG"	1445.085
"AR0901"	"RW-A-AR0901-05-15-19.JPG"	1448.022
"AR0611"	"RW-A-AR0611-05-01-19.JPG"	1436.737
"AR0510"	"RW-A-AR0510-05-30-19.JPG"	1440.168
"AR0509"	"RW-A-AR0509-05-30-19.JPG"	1444.001
"AR1218"	"R-R-AR1218-05-15-19.JPG"	1444.022
"CA1408"	"LW-X-CA_1408-01-22-19.JPG"	1414.013
"CA0416"	"LW-X-CA0416-05-30-19.JPG"	1438.05
"AR0108"	"LW-X-AR0108-05-15-19.JPG"	1444.271
"CA1007"	"LW-U-CA_1007-05-01-19.JPG"	1430.006
"CA0918"	"LW-U-CA_0918-01-29-19.JPG"	1412.013
"AR1910"	"LW-U-AR_1910-03-14-19.JPG"	1438.001
"AR2915"	"LW-U-AR2915-05-30-19.JPG"	1436.614
"AR1902"	"LW-U-AR1902-05-30-19.JPG"	1438.313
"CA0306"	"LW-S-CA0306-05-30-19.JPG"	1436.201
"AR1506"	"LW-S-AR_1506-03-14-19.JPG"	1524
"AR0910"	"LW-S-AR_0910-03-14-19.JPG"	1440.45
"AR2502"	"LW-R-AR_2502-03-14-19.JPG"	1442.089
"AR2316"	"LW-Q-AR_2316-03-14-19.JPG"	1444.05
"AR0814"	"LW-Q-AR_0814-03-14-19.JPG"	1444.089
"AR2019"	"LW-Q-AR2019-05-01-19.JPG"	1438.2
"CA0119"	"LW-H-CA_0119-02-15-19.JPG"	1414.051
"CA1010"	"LW-F-CA1010-05-30-19.JPG"	1442.022
"CA0330"	"LW-F-CA0330-05-01-19.JPG"	1430.006
