AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	breed	collected_by	collection_date	geo_loc_name	identified_by	isolate	isolation_source	sex	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	age	host	tissue
100	SAMN06921501	SRX2838908	SRCD12A	6553	4531	SRR5580851	SRS2212600	SRCD12A	feral	Michael Mesler	2014	USA:CA:Humboldt County, Union Street, Arcata, California, replicate 1	Michael Mesler	worker bee	Arcata, Residential	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921500	SRX2838909	SRCD54B	2896	1843	SRR5580850	SRS2212601	SRCD54B	feral	E.S. Ross	1968	USA:CA: Yolo County, University of California, Davis, replicate 2	E.S. Ross	worker bee	University Campus	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921503	SRX2838910	SRCD12C	6716	4858	SRR5580849	SRS2212603	SRCD12C	feral	Michael Mesler	2014	USA:CA:Humboldt County, Union Street, Arcata, California, replicate 3	Michael Mesler	worker bee	Arcata, Residential	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921502	SRX2838911	SRCD12B	6521	4706	SRR5580848	SRS2212604	SRCD12B	feral	Michael Mesler	2014	USA:CA:Humboldt County, Union Street, Arcata, California, replicate 2	Michael Mesler	worker bee	Arcata, Residential	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921497	SRX2838912	SRCD50B	5521	3681	SRR5580847	SRS2212605	SRCD50B	feral	Julie Cridland	2014	USA:CA: Yolo County, University of California, Davis, replicate 3 modern	Julie Cridland	worker bee	Campus Garden	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921496	SRX2838913	SRCD49C	3790	2821	SRR5580846	SRS2212606	SRCD49C	feral	Julie Cridland	2014	USA:CA: Yolo County, University of California, Davis, replicate 2 modern	Julie Cridland	worker bee	Campus Garden	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921499	SRX2838914	SRCD53A	3877	2496	SRR5580845	SRS2212607	SRCD53A	feral	Julie Cridland	2014	USA:CA: Yolo County, University of California, Davis, replicate 5 modern	Julie Cridland	worker bee	Campus Garden	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921498	SRX2838915	SRCD50C	5001	3258	SRR5580844	SRS2212609	SRCD50C	feral	Julie Cridland	2014	USA:CA: Yolo County, University of California, Davis, replicate 4 modern	Julie Cridland	worker bee	Campus Garden	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921506	SRX2838916	SRCD53B	1608	988	SRR5580843	SRS2212608	SRCD53B	feral	Michael Mesler	2014	USA:CA:Humboldt County, Union Street, Arcata, California, replicate 6	Michael Mesler	worker bee	Arcata, Residential	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921507	SRX2838917	SRCD45C	5311	3592	SRR5580842	SRS2212611	SRCD45C	feral	Cheryl Dean	2014	USA:CA:Stebbins Cold Cyn, Solano County, replicate 1	Cheryl Dean	worker bee	Nature Reserve	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921508	SRX2838918	SRCD46C	5689	3883	SRR5580841	SRS2212610	SRCD46C	feral	Cheryl Dean	2014	USA:CA:Stebbins Cold Cyn, Solano County, replicate 2	Cheryl Dean	worker bee	Nature Reserve	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921509	SRX2838919	SRCD48A	4945	3169	SRR5580840	SRS2212612	SRCD48A	feral	Cheryl Dean	2014	USA:CA:Stebbins Cold Cyn, Solano County, replicate 3	Cheryl Dean	worker bee	Nature Reserve	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921510	SRX2838920	SRCD48B	3627	2482	SRR5580839	SRS2212614	SRCD48B	feral	Cheryl Dean	2014	USA:CA:Stebbins Cold Cyn, Solano County, replicate 4	Cheryl Dean	worker bee	Nature Reserve	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921511	SRX2838921	SRCD48C	2293	1560	SRR5580838	SRS2212615	SRCD48C	feral	Cheryl Dean	2014	USA:CA:Stebbins Cold Cyn, Solano County, replicate 5	Cheryl Dean	worker bee	Nature Reserve	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921494	SRX2838922	SRCD8B	4913	2731	SRR5580837	SRS2212613	SRCD8B	feral	E.S. Ross	1968	USA:CA: Yolo County, University of California, Davis, replicate 1	E.S. Ross	worker bee	University Campus	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921495	SRX2838923	SRCD47B	4702	3228	SRR5580836	SRS2212616	SRCD47B	feral	Julie Cridland	2014	USA:CA: Yolo County, University of California, Davis, replicate 1 modern	Julie Cridland	worker bee	Campus Garden	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921492	SRX2838924	SRCD51A	5948	3794	SRR5580835	SRS2212617	SRCD51A	feral	Amber Sciligo	2014	USA:CA: Stanislaus County, replicate 6	Amber Sciligo	worker bee	Stanislaus County	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
76	SAMN06921493	SRX2838925	ap11_rep1	1812	1021	SRR5580834	SRS2212619	ap11	feral	Santiago Ramirez	2010	USA:CA: UC Berkeley Campus	Santiago Ramirez	worker bee	University Campus	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921490	SRX2838926	SRCD47C	7989	5240	SRR5580833	SRS2212620	SRCD47C	feral	Amber Sciligo	2014	USA:CA: Stanislaus County, replicate 4	Amber Sciligo	worker bee	Stanislaus County	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921491	SRX2838927	SRCD50A	4893	3307	SRR5580832	SRS2212618	SRCD50A	feral	Amber Sciligo	2014	USA:CA: Stanislaus County, replicate 5	Amber Sciligo	worker bee	Stanislaus County	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921488	SRX2838928	SRCD11C	8217	5698	SRR5580831	SRS2212621	SRCD11C	feral	Amber Sciligo	2014	USA:CA: Stanislaus County, replicate 2	Amber Sciligo	worker bee	Stanislaus County	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921489	SRX2838929	SRCD46B	5974	3966	SRR5580830	SRS2212622	SRCD46B	feral	Amber Sciligo	2014	USA:CA: Stanislaus County, replicate 3	Amber Sciligo	worker bee	Stanislaus County	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921486	SRX2838930	ap69_rep1	5311	3562	SRR5580829	SRS2212623	SRCD10A	feral	Essig, Berkeley Natural History Museum	1976	USA:CA: Stanislaus Co. PG&amp;E Power plant, 5 miles N of Turlock Lake NW of LaGrange, replicate 2	Essig, Berkeley Natural History Museum	worker bee	Stanislaus County	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921487	SRX2838931	SRCD8A	5091	2813	SRR5580828	SRS2212624	SRCD8A	feral	Amber Sciligo	2014	USA:CA: Stanislaus County, replicate 1	Amber Sciligo	worker bee	Stanislaus County	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921435	SRX2838932	ap31_rep1	2088	1401	SRR5580827	SRS2212625	ap31	feral	Gary Drewin	1966	USA:CA: Humboldt Co., Blue lake, replicate 5	Gary Drewin	worker bee	Blue Lake	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
100	SAMN06921434	SRX2838933	ap30_rep1	2085	1328	SRR5580826	SRS2212626	ap30	feral	Gary Drewin	1966	USA:CA: Humboldt Co., Blue lake, replicate 4	Gary Drewin	worker bee	Blue Lake	female	WGS	PRJNA385500	Invertebrate	UNIVERSITY OF CALIFORNIA DAVIS	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	2017-05-20	Apis mellifera	ILLUMINA	2018-06-01	SRP107650	adult	not applicable	whole body
